absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
23,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",95,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[2785269257, 4717892303, 764322548754550784, 818589875851051008]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
24,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",23,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[68714859, 301692966, 1626294277, 2555055486]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
25,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",24,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[156370763, 368288476, 3045306697]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim,nobannowall,refugee,travelban,judge_robart,executive_order","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Immigration Policy Controversy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim', 'nobannowall', 'refugee', 'travelban', 'judge_robart', 'executive_order']}",US Immigration Policy Controversy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim']}",US Immigration Policy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
26,11,"['nobannowall', 'muslimban', 'bigotry', 'noban', 'riseup', 'remember', 'immigration', 'immigrant', 'stand']",25,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[23113271, 26642006, 542367047, 2409763922]","nobannowall,muslimban,bigotry,noban,riseup,remember,immigration,immigrant,stand,ban,muslim,trump,president,travel,refugee,travelban,judge_robart,executive_order,judge","nobannowall,muslimban,bigotry,noban,riseup,remember,immigration,immigrant,stand,ban,muslim,trump,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Immigration Policy and Protests': 'nobannowall, muslimban, bigotry, noban, riseup, remember, immigration, immigrant, stand, ban, muslim, trump, president, travel, refugee, travelban, judge_robart, executive_order, judge'}",US Immigration Policy and Protests,"{'Immigration and Anti-Discrimination Protests': 'nobannowall, muslimban, bigotry, noban, riseup, remember, immigration, immigrant, stand, ban, muslim, trump, president'}",Immigration and Anti-Discrimination Protests,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
27,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",26,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[1664919534, 2767680652, 3314524607]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, executive_order, federal_judge, sign', 'Media Coverage': 'radio_live', 'Economic Impact': 'stock_money'}",US Immigration Policy.Media Coverage.Economic Impact,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
28,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",27,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[16272615, 62590731, 65698096]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim,nobannowall,refugee,travelban,judge_robart,executive_order","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Travel and Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim', 'nobannowall', 'refugee', 'travelban', 'judge_robart', 'executive_order']}",US Travel and Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim']}",US Immigration Policy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
29,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",28,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",5,"['ban', 'muslimban', 'travel', 'offend_sink', 'muslim', 'block', 'long_conservative', 'trump', 'offend', 'leave_americans', 'judge']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[82616432, 308464109, 1268281370, 3318159007, 4865796322]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,offend_sink,muslim,long_conservative,offend,leave_americans,executive_order,federal_judge,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,offend_sink,muslim,long_conservative,offend,leave_americans","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'Travel Ban Controversy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, muslimban, executive_order, federal_judge, sign'}",Travel Ban Controversy,"{'US Immigration Policy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, muslimban, muslim, long_conservative, offend, leave_americans'}",US Immigration Policy,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
30,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",29,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[14186393, 23153001, 64916983, 186755547, 3157736703]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
32,14,['live'],30,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",11,"['radio_live', 'stock_money', 'trumptrain', 'blackoutday']","[35300390, 130603246, 171808199, 379463455, 385111201, 500277566, 537890847, 574887275, 1010209111, 3744898573, 4538687428, 711649894402928600, 714472739407532032, 715245592058978305, 715650656753688576, 716775488161710080, 724671839990067200, 728706495387422721, 732241200426557440, 733318875735973888, 738425324422107136, 740774691409924097, 748985476984369153, 750434863845478400, 752256988176871425, 759054028147859457, 766544893036507138, 776542522642268160, 788124385433546752, 789535816821379072, 793086509821734913, 794786565583212544, 819707795574497280, 823654220389826561, 838183916695609344]","live,ban,travel,trump,executive_order,order,radio_live,revise,judge,federal_judge,hawaii,trumps,stock_money,block,president,immigration,trumptrain,blackoutday","live,ban,travel,trump,executive_order,order,radio_live,revise,judge,federal_judge,hawaii,trumps,stock_money,block,president,immigration","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,radio_live,stock_money,trumptrain,blackoutday","{'US Immigration Policy': ['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'block', 'president', 'immigration'], 'Media and Broadcasting': ['live', 'radio_live'], 'Economic Impact': ['stock_money'], 'Social Movements': ['trumptrain', 'blackoutday']}",US Immigration Policy.Media and Broadcasting.Economic Impact.Social Movements,"{'Theme 1': 'travel ban and immigration policy', 'Keywords': ['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'block', 'president', 'immigration']}",Theme 1.Keywords,"{'Travel Ban Legal Challenges': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block', 'Media and Public Reactions': 'radio_live, stock_money, trumptrain, blackoutday'}",Travel Ban Legal Challenges.Media and Public Reactions
33,8,"['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'stopislamofobia', 'immigration', 'woman', 'migrantenkriminalitat', 'nation', 'constitution']",31,8,"['uslatino', 'tntweeter', 'uniteblue', 'niunomas', 'latism', 'inmigracion', 'humanright', 'fight', 'travelban', 'islamistheproblem', 'extremist', 'religion']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[321774180, 326208666, 345134536, 931346941, 3195553725, 3576933737, 768947079192412160]","refugeeswelcome,travelban,refugee,immigrant,stopislamofobia,immigration,woman,migrantenkriminalitat,nation,constitution,muslimban,ban,muslim,trump,president,uslatino,tntweeter,uniteblue,niunomas,latism,inmigracion,humanright,fight,islamistheproblem,extremist,religion,nobannowall,travel,judge_robart,executive_order,judge","refugeeswelcome,travelban,refugee,immigrant,stopislamofobia,immigration,woman,migrantenkriminalitat,nation,constitution,muslimban,ban,muslim,trump,president","uslatino,tntweeter,uniteblue,niunomas,latism,inmigracion,humanright,fight,travelban,islamistheproblem,extremist,religion,muslimban,ban,muslim,nobannowall,trump,travel,judge_robart,executive_order,judge","{'Immigration and Refugee Policies': ['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'immigration', 'muslimban', 'ban', 'muslim', 'trump', 'president', 'inmigracion', 'nobannowall', 'executive_order'], 'Anti-Islamophobia and Human Rights': ['stopislamofobia', 'humanright', 'islamistheproblem', 'extremist', 'religion'], 'Judicial and Legal Actions': ['judge_robart', 'judge', 'constitution'], 'Social and Political Movements': ['uslatino', 'tntweeter', 'uniteblue', 'niunomas', 'latism', 'fight'], 'Crime and National Security': ['migrantenkriminalitat', 'nation']}",Immigration and Refugee Policies.Anti-Islamophobia and Human Rights.Judicial and Legal Actions.Social and Political Movements.Crime and National Security,"{'Immigration and Refugee Policies': ['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'immigration', 'muslimban', 'ban', 'muslim'], 'Political Leadership and National Policies': ['trump', 'president', 'nation', 'constitution'], 'Social Issues and Discrimination': ['stopislamofobia', 'woman', 'migrantenkriminalitat']}",Immigration and Refugee Policies.Political Leadership and National Policies.Social Issues and Discrimination,"{'Latino and Immigration Advocacy': ['uslatino', 'latism', 'inmigracion', 'niunomas'], 'Social Media and Political Activism': ['tntweeter', 'uniteblue'], 'Human Rights and Anti-Discrimination': ['humanright', 'fight', 'nobannowall'], 'Travel Ban and Muslim Ban Controversy': ['travelban', 'islamistheproblem', 'extremist', 'religion', 'muslimban', 'ban', 'muslim', 'trump', 'travel', 'judge_robart', 'executive_order', 'judge']}",Latino and Immigration Advocacy.Social Media and Political Activism.Human Rights and Anti-Discrimination.Travel Ban and Muslim Ban Controversy
36,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",33,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[16302354, 18532867, 540459476, 960768704, 2283571788]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
38,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",97,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[90989948, 2613982245, 752325773390938100, 752325773390938112, 832991683876892672, 832991683876892700]","ban,muslim,muslimban,trump,court,president,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","ban,muslim,muslimban,trump,court,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president, nobannowall, travel, refugee, travelban, judge_robart, executive_order, judge'}",US Travel Ban Controversy,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
39,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",34,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[2197106143, 2347049341, 2918947319, 4099926287]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
41,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",36,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",10,"['muslimban', 'trump', 'trumprussia', 'resist', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'april_speech', 'break', 'trumps', 'todays_hashtag', 'april']","[814322577497726976, 814322577497727000, 826201524074278913]","ban,muslim,muslimban,trump,court,president,nobannowall,travel,refugee,trumprussia,resist,russiagate,theresistance,april_speech,break,trumps,todays_hashtag,april","ban,muslim,muslimban,trump,court,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,trumprussia,resist,russiagate,theresistance,april_speech,break,trumps,todays_hashtag,april","{'Travel Ban Controversy': ['ban', 'muslim', 'muslimban', 'trump', 'court', 'president', 'nobannowall', 'travel', 'refugee'], 'Trump and Russia Investigation': ['trumprussia', 'russiagate', 'theresistance', 'resist'], 'April Speech and Hashtags': ['april_speech', 'break', 'trumps', 'todays_hashtag', 'april']}",Travel Ban Controversy.Trump and Russia Investigation.April Speech and Hashtags,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee'], 'Trump-Russia Investigation': ['trumprussia', 'resist', 'russiagate', 'theresistance'], 'April Events and Discussions': ['april_speech', 'break', 'trumps', 'todays_hashtag', 'april']}",US Travel Ban Controversy.Trump-Russia Investigation.April Events and Discussions
42,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",37,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[8535242, 22657082, 89985399, 420053339, 905100619, 2163076560, 2720800274, 4182801496, 822408697213239296, 825830874180640769]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim,nobannowall,refugee,travelban,judge_robart,executive_order","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Travel and Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim', 'nobannowall', 'refugee', 'travelban', 'judge_robart', 'executive_order']}",US Travel and Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim']}",US Immigration Policy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
44,8,"['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'stopislamofobia', 'immigration', 'woman', 'migrantenkriminalitat', 'nation', 'constitution']",39,6,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'prouracisme']",8,"['travelban', 'refugeeswelcome', 'maga', 'refugee', 'muslimban', 'islam', 'trump', 'enter_country', 'pvv', 'country', 'tcot', 'stopislamofobia', 'bordersclose']",5,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'stopislamofobia_refugeeswelcome', 'prouracisme']","[2746361571, 2883994199, 4888083347, 805855366546329601]","refugeeswelcome,travelban,refugee,immigrant,stopislamofobia,immigration,woman,migrantenkriminalitat,nation,constitution,maga,muslimban,islam,trump,enter_country,pvv,country,tcot,bordersclose,prouracisme,stopislamofobia_refugeeswelcome","refugeeswelcome,travelban,refugee,immigrant,stopislamofobia,immigration,woman,migrantenkriminalitat,nation,constitution,maga,muslimban,islam,trump,enter_country,pvv,country,tcot,bordersclose","refugeeswelcome,stopislamofobia,migrantenkriminalitat,prouracisme,stopislamofobia_refugeeswelcome","{'Immigration and Refugee Policies': ['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'immigration', 'muslimban', 'enter_country', 'bordersclose', 'stopislamofobia_refugeeswelcome'], 'Nationalism and Political Movements': ['nation', 'constitution', 'maga', 'trump', 'pvv', 'tcot', 'country'], 'Islamophobia and Racism': ['stopislamofobia', 'islam', 'prouracisme', 'migrantenkriminalitat']}",Immigration and Refugee Policies.Nationalism and Political Movements.Islamophobia and Racism,"{'Immigration and Refugee Policies': 'refugeeswelcome, travelban, refugee, immigrant, immigration, muslimban, enter_country, bordersclose', 'Anti-Islam Sentiment and Islamophobia': 'stopislamofobia, islam, muslimban', 'Nationalism and Political Movements': 'nation, constitution, maga, trump, pvv, tcot', 'Gender and Migration': 'woman, migrantenkriminalitat'}",Immigration and Refugee Policies.Anti-Islam Sentiment and Islamophobia.Nationalism and Political Movements.Gender and Migration,"{'Anti-Islamophobia and Refugee Support': 'refugeeswelcome, stopislamofobia, stopislamofobia_refugeeswelcome', 'Racism and Migration Issues': 'migrantenkriminalitat, prouracisme'}",Anti-Islamophobia and Refugee Support.Racism and Migration Issues
